,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,hamming_factors_decays
0,0,0.007084699987899512,5.0,100.0,100,0.2,100,
1,1,0.02345059998333454,0.0,202.0,100,0.2,100,
2,0,0.007084699987899512,5.0,100.0,100,0.4,100,
3,1,0.02345059998333454,0.0,202.0,100,0.4,100,
4,0,0.007084699987899512,5.0,100.0,100,0.6,100,
5,1,0.02345059998333454,0.0,202.0,100,0.6,100,
6,0,0.007084699987899512,5.0,100.0,100,0.8,100,
7,1,0.02345059998333454,1.0,202.0,100,0.8,100,
8,2,0.0068376000272110105,1.0,303.0,100,0.8,100,
9,3,0.022397900000214577,1.0,404.0,100,0.8,100,
10,4,0.009654499997850507,1.0,505.0,100,0.8,100,
11,5,0.026291799964383245,1.0,606.0,100,0.8,100,
12,6,0.006622400018386543,0.0,708.0,100,0.8,100,
13,0,0.007084699987899512,5.0,200.0,200,0.2,100,
14,1,0.02345059998333454,0.0,402.0,200,0.2,100,
15,0,0.007084699987899512,5.0,200.0,200,0.4,100,
16,1,0.02345059998333454,1.0,402.0,200,0.4,100,
17,2,0.0068376000272110105,0.0,604.0,200,0.4,100,
18,0,0.007084699987899512,5.0,200.0,200,0.6,100,
19,1,0.02345059998333454,1.0,402.0,200,0.6,100,
20,2,0.0068376000272110105,0.0,604.0,200,0.6,100,
21,0,0.007084699987899512,5.0,200.0,200,0.8,100,
22,1,0.02345059998333454,1.0,402.0,200,0.8,100,
23,2,0.0068376000272110105,0.0,604.0,200,0.8,100,
24,0,0.007084699987899512,5.0,300.0,300,0.2,100,
25,1,0.02345059998333454,0.0,602.0,300,0.2,100,
26,0,0.007084699987899512,5.0,300.0,300,0.4,100,
27,1,0.02345059998333454,0.0,602.0,300,0.4,100,
28,0,0.007084699987899512,5.0,300.0,300,0.6,100,
29,1,0.02345059998333454,1.0,602.0,300,0.6,100,
30,2,0.0068376000272110105,0.0,904.0,300,0.6,100,
31,0,0.007084699987899512,5.0,300.0,300,0.8,100,
32,1,0.02345059998333454,0.0,602.0,300,0.8,100,
33,0,0.007084699987899512,5.0,400.0,400,0.2,100,
34,1,0.02345059998333454,0.0,802.0,400,0.2,100,
35,0,0.007084699987899512,5.0,400.0,400,0.4,100,
36,1,0.02345059998333454,0.0,802.0,400,0.4,100,
37,0,0.007084699987899512,5.0,400.0,400,0.6,100,
38,1,0.02345059998333454,0.0,802.0,400,0.6,100,
39,0,0.007084699987899512,5.0,400.0,400,0.8,100,
40,1,0.02345059998333454,0.0,802.0,400,0.8,100,
