,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006732200039550662,5.0,100.0,False,100,0.2,100
1,1,0.25058180000633,0.0,202.0,False,100,0.2,100
2,0,0.006732200039550662,5.0,100.0,False,100,0.4,100
3,1,0.25058180000633,2.0,202.0,False,100,0.4,100
4,2,0.006481099990196526,1.0,304.0,False,100,0.4,100
5,3,0.25773129996377975,1.0,405.0,False,100,0.4,100
6,4,0.5097372999880463,0.0,507.0,False,100,0.4,100
7,0,0.006732200039550662,5.0,100.0,False,100,0.6,100
8,1,0.25058180000633,1.0,202.0,False,100,0.6,100
9,2,0.006481099990196526,1.0,303.0,False,100,0.6,100
10,3,0.25773129996377975,0.0,405.0,False,100,0.6,100
11,0,0.006732200039550662,5.0,100.0,False,100,0.8,100
12,1,0.25058180000633,1.0,202.0,False,100,0.8,100
13,2,0.006481099990196526,0.0,304.0,False,100,0.8,100
14,0,0.006732200039550662,5.0,200.0,False,200,0.2,100
15,1,0.25058180000633,0.0,402.0,False,200,0.2,100
16,0,0.006732200039550662,5.0,200.0,False,200,0.4,100
17,1,0.25058180000633,1.0,402.0,False,200,0.4,100
18,2,0.006481099990196526,0.0,604.0,False,200,0.4,100
19,0,0.006732200039550662,5.0,200.0,False,200,0.6,100
20,1,0.25058180000633,1.0,402.0,False,200,0.6,100
21,2,0.006481099990196526,0.0,604.0,False,200,0.6,100
22,0,0.006732200039550662,5.0,200.0,False,200,0.8,100
23,1,0.25058180000633,0.0,402.0,False,200,0.8,100
24,0,0.006732200039550662,5.0,300.0,False,300,0.2,100
25,1,0.25058180000633,0.0,602.0,False,300,0.2,100
26,0,0.006732200039550662,5.0,300.0,False,300,0.4,100
27,1,0.25058180000633,0.0,602.0,False,300,0.4,100
28,0,0.006732200039550662,5.0,300.0,False,300,0.6,100
29,1,0.25058180000633,0.0,602.0,False,300,0.6,100
30,0,0.006732200039550662,5.0,300.0,False,300,0.8,100
31,1,0.25058180000633,0.0,602.0,False,300,0.8,100
32,0,0.006732200039550662,5.0,400.0,False,400,0.2,100
33,1,0.25058180000633,0.0,802.0,False,400,0.2,100
34,0,0.006732200039550662,5.0,400.0,False,400,0.4,100
35,1,0.25058180000633,0.0,802.0,False,400,0.4,100
36,0,0.006732200039550662,5.0,400.0,False,400,0.6,100
37,1,0.25058180000633,0.0,802.0,False,400,0.6,100
38,0,0.006732200039550662,5.0,400.0,False,400,0.8,100
39,1,0.25058180000633,1.0,802.0,False,400,0.8,100
40,2,0.006481099990196526,1.0,1203.0,False,400,0.8,100
41,3,0.25773129996377975,0.0,1605.0,False,400,0.8,100
