,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00022740004351362586,5.0,0.0,5,100,0
1,1,0.005399500019848347,3.0,2.0,5,100,0
2,2,0.005479799991007894,3.0,3.0,5,100,0
3,3,0.005553000024519861,3.0,4.0,5,100,0
4,4,0.005624999990686774,3.0,5.0,5,100,0
5,5,0.005696900014299899,3.0,6.0,5,100,0
6,6,0.005768700037151575,3.0,7.0,5,100,0
7,7,0.005842300015501678,3.0,8.0,5,100,0
8,8,0.0059146000421606,3.0,9.0,5,100,0
9,9,0.005986800009850413,3.0,10.0,5,100,0
10,10,0.006059000035747886,3.0,11.0,5,100,0
11,11,0.010265399992931634,1.0,13.0,5,100,0
12,12,0.010342499997932464,1.0,14.0,5,100,0
13,13,0.010416500037536025,1.0,15.0,5,100,0
14,14,0.010541299998294562,0.0,17.0,5,100,0
15,0,0.00022740004351362586,5.0,0.0,10,100,0
16,1,0.005399500019848347,3.0,2.0,10,100,0
17,2,0.005479799991007894,3.0,3.0,10,100,0
18,3,0.005553000024519861,3.0,4.0,10,100,0
19,4,0.005624999990686774,3.0,5.0,10,100,0
20,5,0.005696900014299899,3.0,6.0,10,100,0
21,6,0.005768700037151575,3.0,7.0,10,100,0
22,7,0.005842300015501678,3.0,8.0,10,100,0
23,8,0.0059146000421606,3.0,9.0,10,100,0
24,9,0.005986800009850413,3.0,10.0,10,100,0
25,10,0.006059000035747886,3.0,11.0,10,100,0
26,11,0.010265399992931634,1.0,13.0,10,100,0
27,12,0.010342499997932464,1.0,14.0,10,100,0
28,13,0.010416500037536025,1.0,15.0,10,100,0
29,14,0.010541299998294562,0.0,17.0,10,100,0
30,0,0.00022740004351362586,5.0,0.0,15,100,0
31,1,0.005399500019848347,3.0,2.0,15,100,0
32,2,0.005479799991007894,3.0,3.0,15,100,0
33,3,0.005553000024519861,3.0,4.0,15,100,0
34,4,0.005624999990686774,3.0,5.0,15,100,0
35,5,0.005696900014299899,3.0,6.0,15,100,0
36,6,0.005768700037151575,3.0,7.0,15,100,0
37,7,0.005842300015501678,3.0,8.0,15,100,0
38,8,0.0059146000421606,3.0,9.0,15,100,0
39,9,0.005986800009850413,3.0,10.0,15,100,0
40,10,0.006059000035747886,3.0,11.0,15,100,0
41,11,0.010265399992931634,1.0,13.0,15,100,0
42,12,0.010342499997932464,1.0,14.0,15,100,0
43,13,0.010416500037536025,1.0,15.0,15,100,0
44,14,0.010541299998294562,0.0,17.0,15,100,0
45,0,0.00022740004351362586,5.0,0.0,20,100,0
46,1,0.005399500019848347,3.0,2.0,20,100,0
47,2,0.005479799991007894,3.0,3.0,20,100,0
48,3,0.005553000024519861,3.0,4.0,20,100,0
49,4,0.005624999990686774,3.0,5.0,20,100,0
50,5,0.005696900014299899,3.0,6.0,20,100,0
51,6,0.005768700037151575,3.0,7.0,20,100,0
52,7,0.005842300015501678,3.0,8.0,20,100,0
53,8,0.0059146000421606,3.0,9.0,20,100,0
54,9,0.005986800009850413,3.0,10.0,20,100,0
55,10,0.006059000035747886,3.0,11.0,20,100,0
56,11,0.010265399992931634,1.0,13.0,20,100,0
57,12,0.010342499997932464,1.0,14.0,20,100,0
58,13,0.010416500037536025,1.0,15.0,20,100,0
59,14,0.010541299998294562,0.0,17.0,20,100,0
