,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,5.0,0,0.00022740004351362586,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",5,100,0
1,10,3.0,11,0.006059000035747886,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",5,100,0
2,20,0.0,17,0.010541299998294562,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",5,100,0
3,50,0.0,17,0.010541299998294562,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",5,100,0
4,100,0.0,17,0.010541299998294562,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",5,100,0
5,0,5.0,0,0.00016620004316791892,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",10,100,0
6,10,3.0,11,0.0048074000515043736,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",10,100,0
7,20,0.0,17,0.009203000052366406,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",10,100,0
8,50,0.0,17,0.009203000052366406,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",10,100,0
9,100,0.0,17,0.009203000052366406,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",10,100,0
10,0,5.0,0,0.00016240001423284411,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",15,100,0
11,10,3.0,11,0.0049999000038951635,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",15,100,0
12,20,0.0,17,0.009412200015503913,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",15,100,0
13,50,0.0,17,0.009412200015503913,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",15,100,0
14,100,0.0,17,0.009412200015503913,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",15,100,0
15,0,5.0,0,0.00016340002184733748,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",20,100,0
16,10,3.0,11,0.015391500026453286,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",20,100,0
17,20,0.0,17,0.021044500055722892,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",20,100,0
18,50,0.0,17,0.021044500055722892,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",20,100,0
19,100,0.0,17,0.021044500055722892,"[7, 5, 1, 2, 7, 8, 2, 7, 7, 6, 8, 4, 2, 6, 4, 3, 0, 7, 1, 5]",20,100,0
