,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00024770002346485853,5.0,0.0,10,100
1,1,0.00619009998627007,3.0,2.0,10,100
2,2,0.006338800012599677,4.0,4.0,10,100
3,3,0.006470500025898218,4.0,6.0,10,100
4,4,0.006602899986319244,5.0,8.0,10,100
5,5,0.006735100003425032,5.0,10.0,10,100
6,6,0.006865500006824732,5.0,12.0,10,100
7,7,0.006994900002609938,5.0,14.0,10,100
8,8,0.007125500007532537,5.0,16.0,10,100
9,9,0.007256400014739484,5.0,18.0,10,100
10,10,0.007385700009763241,6.0,20.0,10,100
11,11,0.012108299997635186,8.0,22.0,10,100
12,12,0.01224690000526607,8.0,24.0,10,100
13,13,0.012380599975585938,9.0,26.0,10,100
14,14,0.012510299973655492,8.0,28.0,10,100
15,15,0.012642199988476932,8.0,30.0,10,100
16,16,0.012771799985785037,7.0,32.0,10,100
17,17,0.01290339999832213,8.0,34.0,10,100
18,18,0.013033399998676032,7.0,36.0,10,100
19,19,0.013175299973227084,6.0,38.0,10,100
20,20,0.013262899999972433,6.0,39.0,10,100
21,21,0.019616800011135638,5.0,41.0,10,100
22,22,0.01970830000936985,5.0,42.0,10,100
23,23,0.01984470000024885,6.0,44.0,10,100
24,24,0.01997959997970611,4.0,46.0,10,100
25,25,0.02011849998962134,4.0,48.0,10,100
26,26,0.02025200001662597,2.0,50.0,10,100
27,27,0.020387199998367578,2.0,52.0,10,100
28,28,0.020522099977824837,3.0,54.0,10,100
29,29,0.02065630001015961,4.0,56.0,10,100
30,30,0.020789499976672232,4.0,58.0,10,100
31,31,0.02092460001586005,5.0,60.0,10,100
32,32,0.021059899998363107,6.0,62.0,10,100
33,33,0.02119569998467341,6.0,64.0,10,100
34,34,0.02132910001091659,5.0,66.0,10,100
35,35,0.02146090002497658,3.0,68.0,10,100
36,36,0.021596200007479638,4.0,70.0,10,100
37,37,0.02173239999683574,4.0,72.0,10,100
38,38,0.021868099982384592,4.0,74.0,10,100
39,39,0.02200330002233386,4.0,76.0,10,100
40,40,0.022141500026918948,6.0,78.0,10,100
41,41,0.02227910002693534,6.0,80.0,10,100
42,42,0.022416000021621585,6.0,82.0,10,100
43,43,0.022554100025445223,6.0,84.0,10,100
44,44,0.022691200021654367,6.0,86.0,10,100
45,45,0.022824599989689887,5.0,88.0,10,100
46,46,0.02295750001212582,3.0,90.0,10,100
47,47,0.023097100027371198,3.0,92.0,10,100
48,48,0.02323619998060167,4.0,94.0,10,100
49,49,0.02337519999127835,4.0,96.0,10,100
50,50,0.023512099985964596,4.0,98.0,10,100
