,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,5.0,0,0.00024770002346485853,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",geometric,10,0.99,0.001,9.99997510534672,10,100,
1,10,6.0,20,0.007385700009763241,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",geometric,10,0.99,0.001,9.999257739892753,10,100,
2,20,6.0,39,0.013262899999972433,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 3, 2, 5, 4, 5, 0, 7, 7, 0]",geometric,10,0.99,0.001,9.99866712284206,10,100,
3,50,4.0,98,0.023512099985964596,"[8, 5, 3, 7, 5, 7, 7, 8, 4, 5, 0, 7, 4, 0, 2, 1, 4, 8, 7, 0]",geometric,10,0.99,0.001,9.997637234162296,10,100,
4,100,8.0,196,0.036483899981249124,"[2, 4, 5, 3, 5, 6, 5, 0, 7, 0, 8, 5, 8, 2, 1, 6, 5, 7, 7, 7]",geometric,10,0.99,0.001,9.996333917691691,10,100,
5,0,5.0,0,0.00018079997971653938,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",arithmetic,10,0.0001,0.001,9.999999981920002,10,100,
6,10,6.0,20,0.007419999979902059,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",arithmetic,10,0.0001,0.001,9.999999258000003,10,100,
7,20,6.0,39,0.014166299952194095,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 3, 2, 5, 4, 5, 0, 7, 7, 0]",arithmetic,10,0.0001,0.001,9.999998583370004,10,100,
8,50,4.0,98,0.023656999983359128,"[8, 5, 3, 7, 5, 7, 7, 8, 4, 5, 0, 7, 4, 0, 2, 1, 4, 8, 7, 0]",arithmetic,10,0.0001,0.001,9.999997634300001,10,100,
9,100,3.0,198,0.0364308999851346,"[8, 6, 7, 3, 5, 6, 5, 2, 7, 0, 0, 1, 3, 2, 3, 5, 5, 8, 7, 2]",arithmetic,10,0.0001,0.001,9.999996356910001,10,100,
10,0,5.0,0,0.00020420004148036242,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",exponential,10,,0.001,9.999989790003138,10,100,0.005
11,10,6.0,20,0.008795700035989285,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",exponential,10,,0.001,9.9995602246686,10,100,0.005
12,20,6.0,39,0.016162600019015372,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 3, 2, 5, 4, 5, 0, 7, 7, 0]",exponential,10,,0.001,9.999191902651875,10,100,0.005
13,50,4.0,98,0.026498000021092594,"[8, 5, 3, 7, 5, 7, 7, 8, 4, 5, 0, 7, 4, 0, 2, 1, 4, 8, 7, 0]",exponential,10,,0.001,9.99867518776307,10,100,0.005
14,100,3.0,198,0.04036900005303323,"[8, 6, 7, 3, 5, 6, 5, 2, 7, 0, 0, 1, 3, 2, 3, 5, 5, 8, 7, 2]",exponential,10,,0.001,9.997981753690663,10,100,0.005
15,0,5.0,0,0.00024240004131570458,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",geometric,20,0.99,0.001,19.99995127602283,20,100,
16,10,6.0,20,0.009154600033070892,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",geometric,20,0.99,0.001,19.998159948551187,20,100,
17,20,8.0,40,0.017941099999006838,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",geometric,20,0.99,0.001,19.996394043500707,20,100,
18,50,2.0,98,0.028794600046239793,"[1, 4, 3, 2, 5, 8, 8, 1, 3, 5, 0, 3, 7, 5, 2, 1, 8, 8, 7, 0]",geometric,20,0.99,0.001,19.99421292939156,20,100,
19,100,7.0,196,0.04404340003384277,"[3, 8, 3, 3, 0, 6, 5, 3, 7, 7, 8, 1, 8, 5, 3, 7, 5, 8, 7, 7]",geometric,20,0.99,0.001,19.991148939860263,20,100,
20,0,5.0,0,0.00018050003563985229,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",arithmetic,20,0.0001,0.001,19.999999981949998,20,100,
21,10,6.0,20,0.008445100043900311,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",arithmetic,20,0.0001,0.001,19.999999155489995,20,100,
22,20,8.0,40,0.016699900035746396,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",arithmetic,20,0.0001,0.001,19.999998330009998,20,100,
23,50,5.0,100,0.027761800040025264,"[1, 4, 3, 2, 5, 7, 8, 1, 3, 5, 0, 3, 7, 5, 3, 1, 8, 8, 7, 0]",arithmetic,20,0.0001,0.001,19.999997223819996,20,100,
24,100,4.0,200,0.04186590004246682,"[8, 3, 7, 3, 5, 0, 8, 2, 7, 0, 8, 1, 3, 1, 3, 3, 8, 7, 8, 1]",arithmetic,20,0.0001,0.001,19.999995813409996,20,100,
25,0,5.0,0,0.0001715999678708613,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",exponential,20,,0.001,19.999982840010574,20,100,0.005
26,10,6.0,20,0.008611599972937256,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",exponential,20,,0.001,19.999138858542352,20,100,0.005
27,20,8.0,40,0.01674340001773089,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",exponential,20,,0.001,19.998325730081632,20,100,0.005
28,50,3.0,99,0.027921199973206967,"[1, 4, 3, 2, 5, 7, 8, 1, 3, 5, 0, 3, 7, 5, 2, 1, 8, 8, 7, 0]",exponential,20,,0.001,19.99720807489196,20,100,0.005
29,100,7.0,198,0.04187020001700148,"[3, 8, 3, 3, 0, 6, 5, 3, 7, 7, 8, 1, 8, 5, 3, 7, 5, 8, 7, 7]",exponential,20,,0.001,19.99581341824613,20,100,0.005
30,0,5.0,0,0.00017419998766854405,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",geometric,50,0.99,0.001,49.999912461657544,50,100,
31,10,6.0,20,0.009152400016319007,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",geometric,50,0.99,0.001,49.99540097682163,50,100,
32,20,8.0,40,0.01827850000699982,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",geometric,50,0.99,0.001,49.99081559043867,50,100,
33,50,5.0,100,0.030705099983606488,"[1, 4, 3, 2, 5, 7, 8, 1, 3, 5, 0, 3, 7, 5, 3, 1, 8, 8, 7, 0]",geometric,50,0.99,0.001,49.984572552188624,50,100,
34,100,4.0,200,0.04609309998340905,"[8, 3, 7, 3, 5, 0, 8, 2, 7, 0, 8, 1, 3, 1, 3, 3, 8, 7, 8, 1]",geometric,50,0.99,0.001,49.97684280744389,50,100,
35,0,5.0,0,0.00018319999799132347,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",arithmetic,50,0.0001,0.001,49.99999998168,50,100,
36,10,6.0,20,0.009281800012104213,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",arithmetic,50,0.0001,0.001,49.99999907182,50,100,
37,20,8.0,40,0.018898200010880828,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",arithmetic,50,0.0001,0.001,49.99999811018,50,100,
38,50,5.0,100,0.03053600003477186,"[1, 4, 3, 2, 5, 7, 8, 1, 3, 5, 0, 3, 7, 5, 3, 1, 8, 8, 7, 0]",arithmetic,50,0.0001,0.001,49.999996946399996,50,100,
39,100,4.0,200,0.045715900021605194,"[8, 3, 7, 3, 5, 0, 8, 2, 7, 0, 8, 1, 3, 1, 3, 3, 8, 7, 8, 1]",arithmetic,50,0.0001,0.001,49.999995428409996,50,100,
40,0,5.0,0,0.00017479999223724008,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",exponential,50,,0.001,49.99995630002104,50,100,0.005
41,10,6.0,20,0.010063199966680259,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",exponential,50,,0.001,49.99748426329976,50,100,0.005
42,20,8.0,40,0.019665999978315085,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",exponential,50,,0.001,49.995083741717224,50,100,0.005
43,50,5.0,100,0.032687599945347756,"[1, 4, 3, 2, 5, 7, 8, 1, 3, 5, 0, 3, 7, 5, 3, 1, 8, 8, 7, 0]",exponential,50,,0.001,49.991828767776774,50,100,0.005
44,100,4.0,200,0.04786299995612353,"[8, 3, 7, 3, 5, 0, 8, 2, 7, 0, 8, 1, 3, 1, 3, 3, 8, 7, 8, 1]",exponential,50,,0.001,49.98803568168849,50,100,0.005
45,0,5.0,0,0.0001558999647386372,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",geometric,100,0.99,0.001,99.99984331542223,100,100,
46,10,6.0,20,0.010377599974162877,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",geometric,100,0.99,0.001,99.98957070737917,100,100,
47,20,8.0,40,0.021064699976705015,"[0, 5, 1, 8, 6, 8, 8, 0, 2, 3, 8, 0, 2, 5, 4, 5, 0, 7, 7, 0]",geometric,100,0.99,0.001,99.9788315098992,100,100,
48,50,5.0,100,0.03354899998521432,"[1, 4, 3, 2, 5, 7, 8, 1, 3, 5, 0, 3, 7, 5, 3, 1, 8, 8, 7, 0]",geometric,100,0.99,0.001,99.96628781209547,100,100,
49,100,4.0,200,0.04885759996250272,"[8, 3, 7, 3, 5, 0, 8, 2, 7, 0, 8, 1, 3, 1, 3, 3, 8, 7, 8, 1]",geometric,100,0.99,0.001,99.95090852494779,100,100,
50,0,5.0,0,0.00015410000924021006,"[7, 5, 1, 8, 7, 8, 2, 7, 7, 7, 8, 4, 2, 6, 4, 3, 0, 7, 5, 5]",arithmetic,100,0.0001,0.001,99.99999998459,100,100,
51,10,6.0,20,0.009895699971821159,"[0, 5, 1, 8, 7, 8, 0, 7, 1, 3, 8, 4, 2, 5, 4, 3, 0, 7, 7, 8]",arithmetic,100,0.0001,0.001,99.99999901043,100,100,
