,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,hamming_factors_decays
0,0,6.0,100,0.0229255000000137,"[2, 6, 7, 5, 1, 0, 7, 0]",100,0.2,100,
1,10,2.0,1112,0.2887249000000054,"[0, 3, 6, 4, 1, 4, 0, 5]",100,0.2,100,
2,20,2.0,1516,0.38873720000000844,"[0, 3, 6, 4, 1, 4, 0, 5]",100,0.2,100,
3,50,2.0,1516,0.38873720000000844,"[0, 3, 6, 4, 1, 4, 0, 5]",100,0.2,100,
4,100,2.0,1516,0.38873720000000844,"[0, 3, 6, 4, 1, 4, 0, 5]",100,0.2,100,
5,0,6.0,100,0.02008250000000089,"[2, 6, 7, 5, 1, 0, 7, 0]",100,0.4,100,
6,10,2.0,1112,0.269288199999977,"[0, 2, 7, 5, 7, 1, 3, 6]",100,0.4,100,
7,20,2.0,1415,0.3488291999999831,"[0, 2, 7, 5, 7, 1, 3, 6]",100,0.4,100,
8,50,2.0,1415,0.3488291999999831,"[0, 2, 7, 5, 7, 1, 3, 6]",100,0.4,100,
9,100,2.0,1415,0.3488291999999831,"[0, 2, 7, 5, 7, 1, 3, 6]",100,0.4,100,
10,0,6.0,100,0.02144850000001952,"[2, 6, 7, 5, 1, 0, 7, 0]",100,0.6,100,
11,10,1.0,1112,0.26831950000001825,"[2, 4, 7, 0, 3, 6, 4, 1]",100,0.6,100,
12,20,1.0,1718,0.42357450000000085,"[2, 4, 7, 0, 3, 6, 4, 1]",100,0.6,100,
13,50,1.0,1718,0.42357450000000085,"[2, 4, 7, 0, 3, 6, 4, 1]",100,0.6,100,
14,100,1.0,1718,0.42357450000000085,"[2, 4, 7, 0, 3, 6, 4, 1]",100,0.6,100,
15,0,6.0,100,0.0222129999999936,"[2, 6, 7, 5, 1, 0, 7, 0]",100,0.8,100,
16,10,1.0,1113,0.2979197999999883,"[6, 3, 1, 4, 7, 5, 0, 2]",100,0.8,100,
17,20,1.0,1820,0.4862876999999912,"[6, 3, 1, 4, 7, 5, 0, 2]",100,0.8,100,
18,50,1.0,1820,0.4862876999999912,"[6, 3, 1, 4, 7, 5, 0, 2]",100,0.8,100,
19,100,1.0,1820,0.4862876999999912,"[6, 3, 1, 4, 7, 5, 0, 2]",100,0.8,100,
20,0,6.0,200,0.04341180000000122,"[2, 6, 7, 5, 1, 0, 7, 0]",200,0.2,100,
21,10,1.0,2212,0.5432520999999895,"[7, 3, 1, 6, 2, 5, 0, 4]",200,0.2,100,
22,20,1.0,3016,0.7627095999999938,"[7, 3, 1, 6, 2, 5, 0, 4]",200,0.2,100,
23,50,1.0,3016,0.7627095999999938,"[7, 3, 1, 6, 2, 5, 0, 4]",200,0.2,100,
24,100,1.0,3016,0.7627095999999938,"[7, 3, 1, 6, 2, 5, 0, 4]",200,0.2,100,
25,0,6.0,200,0.04462739999999599,"[2, 6, 7, 5, 1, 0, 7, 0]",200,0.4,100,
26,10,1.0,2212,0.592433600000021,"[1, 6, 2, 7, 5, 3, 0, 4]",200,0.4,100,
27,20,1.0,2614,0.7001198000000102,"[1, 6, 2, 7, 5, 3, 0, 4]",200,0.4,100,
28,50,1.0,2614,0.7001198000000102,"[1, 6, 2, 7, 5, 3, 0, 4]",200,0.4,100,
29,100,1.0,2614,0.7001198000000102,"[1, 6, 2, 7, 5, 3, 0, 4]",200,0.4,100,
30,0,6.0,200,0.04064239999999586,"[2, 6, 7, 5, 1, 0, 7, 0]",200,0.6,100,
31,10,1.0,2213,0.5329024999999774,"[2, 2, 6, 1, 3, 5, 0, 4]",200,0.6,100,
32,20,1.0,4022,0.9859878999999978,"[2, 2, 6, 1, 3, 5, 0, 4]",200,0.6,100,
33,50,1.0,4022,0.9859878999999978,"[2, 2, 6, 1, 3, 5, 0, 4]",200,0.6,100,
34,100,1.0,4022,0.9859878999999978,"[2, 2, 6, 1, 3, 5, 0, 4]",200,0.6,100,
35,0,6.0,200,0.04066760000000613,"[2, 6, 7, 5, 1, 0, 7, 0]",200,0.8,100,
36,10,2.0,2211,0.5454675000000009,"[1, 3, 6, 6, 2, 2, 5, 7]",200,0.8,100,
