,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.1224846999393776,109.0,100.0,False,100,0.2,1000
1,1,3.0658126999624074,81.0,202.0,False,100,0.2,1000
2,2,6.177974999998696,81.0,303.0,False,100,0.2,1000
3,3,9.071945699979551,81.0,404.0,False,100,0.2,1000
4,4,11.983273299993016,81.0,505.0,False,100,0.2,1000
5,5,14.895422099973075,81.0,606.0,False,100,0.2,1000
6,6,17.813762499950826,81.0,707.0,False,100,0.2,1000
7,7,20.72926329995971,81.0,808.0,False,100,0.2,1000
8,8,23.643957799999043,81.0,909.0,False,100,0.2,1000
9,9,26.559075199998915,81.0,1010.0,False,100,0.2,1000
10,10,29.476220299955457,81.0,1111.0,False,100,0.2,1000
11,11,32.4043732000282,81.0,1212.0,False,100,0.2,1000
12,12,35.32252649997827,81.0,1313.0,False,100,0.2,1000
13,13,38.24903720000293,81.0,1414.0,False,100,0.2,1000
14,14,41.16402399993967,81.0,1515.0,False,100,0.2,1000
15,15,44.08478309994098,81.0,1616.0,False,100,0.2,1000
16,16,47.00506679993123,81.0,1717.0,False,100,0.2,1000
17,17,49.91456669999752,81.0,1818.0,False,100,0.2,1000
18,18,52.82088200002909,81.0,1919.0,False,100,0.2,1000
19,19,55.73225659993477,81.0,2020.0,False,100,0.2,1000
20,20,58.642442199983634,81.0,2121.0,False,100,0.2,1000
21,21,61.549304499989375,81.0,2222.0,False,100,0.2,1000
22,22,64.45675839995965,81.0,2323.0,False,100,0.2,1000
23,23,67.36440510000102,81.0,2424.0,False,100,0.2,1000
24,24,70.26971449994016,81.0,2525.0,False,100,0.2,1000
25,25,73.17947179998737,81.0,2626.0,False,100,0.2,1000
26,26,76.09399480000138,81.0,2727.0,False,100,0.2,1000
27,27,79.01066229993012,81.0,2828.0,False,100,0.2,1000
28,28,81.92594260000624,81.0,2929.0,False,100,0.2,1000
29,29,84.83604259998538,81.0,3030.0,False,100,0.2,1000
30,30,87.74678209994454,81.0,3131.0,False,100,0.2,1000
31,31,90.66140560002532,81.0,3232.0,False,100,0.2,1000
32,32,93.57170269999187,81.0,3333.0,False,100,0.2,1000
33,33,96.50615329993889,81.0,3434.0,False,100,0.2,1000
34,34,99.43732339993585,81.0,3535.0,False,100,0.2,1000
35,35,102.36771719995886,81.0,3636.0,False,100,0.2,1000
36,36,105.29197269992437,81.0,3737.0,False,100,0.2,1000
37,37,108.1953781999182,81.0,3838.0,False,100,0.2,1000
38,38,111.10759709996637,81.0,3939.0,False,100,0.2,1000
39,39,114.02206129999831,81.0,4040.0,False,100,0.2,1000
40,40,116.96310789999552,81.0,4141.0,False,100,0.2,1000
41,41,119.90529489994515,81.0,4242.0,False,100,0.2,1000
42,42,122.81446309993044,81.0,4343.0,False,100,0.2,1000
43,43,125.72531909996178,81.0,4444.0,False,100,0.2,1000
44,44,128.63510109996423,81.0,4545.0,False,100,0.2,1000
45,45,131.55100999993738,81.0,4646.0,False,100,0.2,1000
46,46,134.4616771999281,81.0,4747.0,False,100,0.2,1000
47,47,137.37326100002974,81.0,4848.0,False,100,0.2,1000
48,48,140.2902673999779,81.0,4949.0,False,100,0.2,1000
49,49,143.2035418000305,81.0,5050.0,False,100,0.2,1000
50,50,146.1096137999557,81.0,5151.0,False,100,0.2,1000
51,51,149.01714849995915,81.0,5252.0,False,100,0.2,1000
52,52,151.92027599993162,81.0,5353.0,False,100,0.2,1000
53,53,154.8337121999357,81.0,5454.0,False,100,0.2,1000
54,54,157.75588539999444,81.0,5555.0,False,100,0.2,1000
55,55,160.6811899000313,81.0,5656.0,False,100,0.2,1000
56,56,163.60761870001443,81.0,5757.0,False,100,0.2,1000
57,57,166.53493900003377,81.0,5858.0,False,100,0.2,1000
58,58,169.44061239995062,81.0,5959.0,False,100,0.2,1000
59,59,172.34820130001754,81.0,6060.0,False,100,0.2,1000
60,60,175.253463299945,81.0,6161.0,False,100,0.2,1000
61,61,178.15695510001387,81.0,6262.0,False,100,0.2,1000
62,62,181.05814390000887,81.0,6363.0,False,100,0.2,1000
63,63,183.97370839992072,81.0,6464.0,False,100,0.2,1000
64,64,186.88142009999137,81.0,6565.0,False,100,0.2,1000
65,65,189.78522049996536,81.0,6666.0,False,100,0.2,1000
66,66,192.68739670002833,81.0,6767.0,False,100,0.2,1000
67,67,195.59159199998248,81.0,6868.0,False,100,0.2,1000
68,68,198.506544200005,81.0,6969.0,False,100,0.2,1000
69,69,201.4243496999843,81.0,7070.0,False,100,0.2,1000
70,70,204.3454628000036,81.0,7171.0,False,100,0.2,1000
71,71,207.26248959999066,81.0,7272.0,False,100,0.2,1000
72,72,210.18950290000066,81.0,7373.0,False,100,0.2,1000
73,73,213.11747920000926,81.0,7474.0,False,100,0.2,1000
74,74,216.03921319998335,81.0,7575.0,False,100,0.2,1000
75,75,218.95233529992402,81.0,7676.0,False,100,0.2,1000
76,76,221.86743500002194,81.0,7777.0,False,100,0.2,1000
77,77,224.77787949994672,81.0,7878.0,False,100,0.2,1000
78,78,227.6865709000267,81.0,7979.0,False,100,0.2,1000
79,79,230.6011006999761,81.0,8080.0,False,100,0.2,1000
80,80,233.52832749998197,81.0,8181.0,False,100,0.2,1000
81,81,236.45323199999984,81.0,8282.0,False,100,0.2,1000
82,82,239.3745867999969,81.0,8383.0,False,100,0.2,1000
83,83,242.29322320001666,81.0,8484.0,False,100,0.2,1000
84,84,245.21189039992169,81.0,8585.0,False,100,0.2,1000
85,85,248.1323121000314,81.0,8686.0,False,100,0.2,1000
86,86,251.06073639995884,81.0,8787.0,False,100,0.2,1000
87,87,253.98774869996123,81.0,8888.0,False,100,0.2,1000
88,88,256.9133571999846,81.0,8989.0,False,100,0.2,1000
89,89,259.8400860999245,81.0,9090.0,False,100,0.2,1000
