,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,6.0,0,0.0005396999999902619,"[2, 6, 7, 5, 1, 0, 7, 0]",5,100,0
1,10,5.0,11,0.01395329999999717,"[2, 6, 1, 5, 1, 0, 7, 0]",5,100,0
2,20,4.0,22,0.021649799999977404,"[4, 6, 1, 5, 1, 0, 7, 0]",5,100,0
3,50,2.0,48,0.03264769999998407,"[4, 6, 1, 5, 1, 0, 7, 3]",5,100,0
4,100,2.0,48,0.03264769999998407,"[4, 6, 1, 5, 1, 0, 7, 3]",5,100,0
5,0,10.0,48,0.03805979999998499,"[0, 1, 5, 0, 3, 2, 5, 6]",5,100,1
6,10,6.0,60,0.04684279999997898,"[5, 1, 5, 0, 3, 2, 4, 6]",5,100,1
7,20,3.0,72,0.055984799999976076,"[5, 1, 5, 0, 7, 7, 4, 6]",5,100,1
8,50,2.0,99,0.06759079999997653,"[5, 1, 5, 0, 0, 7, 4, 6]",5,100,1
9,100,2.0,99,0.06759079999997653,"[5, 1, 5, 0, 0, 7, 4, 6]",5,100,1
10,0,8.0,99,0.073664999999977,"[5, 7, 5, 1, 2, 0, 2, 5]",5,100,2
11,10,6.0,111,0.08259009999997602,"[5, 7, 5, 0, 2, 0, 3, 5]",5,100,2
12,20,4.0,123,0.09097819999999501,"[2, 7, 5, 7, 2, 0, 3, 5]",5,100,2
13,50,2.0,155,0.10463059999997881,"[1, 7, 5, 7, 2, 0, 3, 4]",5,100,2
14,100,2.0,165,0.11307659999999942,"[1, 7, 5, 7, 2, 0, 3, 4]",5,100,2
15,0,7.0,165,0.11974469999998405,"[1, 0, 3, 7, 7, 0, 4, 7]",5,100,3
16,10,4.0,178,0.12906259999999747,"[1, 7, 3, 0, 7, 7, 4, 7]",5,100,3
17,20,3.0,189,0.13812259999997423,"[1, 6, 3, 0, 7, 7, 4, 7]",5,100,3
18,50,3.0,205,0.14828279999997562,"[1, 6, 3, 0, 7, 7, 4, 7]",5,100,3
19,100,3.0,205,0.14828279999997562,"[1, 6, 3, 0, 7, 7, 4, 7]",5,100,3
20,0,8.0,205,0.15451569999999037,"[7, 1, 4, 1, 4, 1, 1, 2]",5,100,4
21,10,6.0,217,0.16468019999999228,"[7, 0, 4, 1, 4, 1, 1, 2]",5,100,4
22,20,3.0,230,0.17462109999999598,"[7, 0, 3, 1, 4, 5, 6, 2]",5,100,4
23,50,2.0,261,0.19026839999997947,"[7, 0, 3, 1, 4, 1, 6, 2]",5,100,4
24,100,2.0,264,0.1977217999999823,"[7, 0, 3, 1, 4, 1, 6, 2]",5,100,4
25,0,10.0,264,0.20450419999997393,"[5, 1, 3, 3, 1, 3, 5, 1]",5,100,5
26,10,4.0,279,0.21497849999997243,"[6, 1, 3, 1, 7, 3, 5, 0]",5,100,5
27,20,4.0,289,0.2245279999999923,"[6, 1, 3, 1, 7, 3, 5, 0]",5,100,5
28,50,1.0,322,0.24126359999999636,"[6, 2, 3, 1, 4, 7, 5, 0]",5,100,5
29,100,1.0,337,0.253612099999998,"[6, 2, 3, 1, 4, 7, 5, 0]",5,100,5
30,0,6.0,0,0.0004853000000082375,"[2, 6, 7, 5, 1, 0, 7, 0]",10,100,0
31,10,5.0,11,0.010329600000005712,"[2, 6, 1, 5, 1, 0, 7, 0]",10,100,0
32,20,4.0,22,0.019841600000006565,"[4, 6, 1, 5, 1, 0, 7, 0]",10,100,0
33,50,2.0,48,0.032693899999998166,"[4, 6, 1, 5, 1, 0, 7, 3]",10,100,0
34,100,2.0,48,0.032693899999998166,"[4, 6, 1, 5, 1, 0, 7, 3]",10,100,0
35,0,10.0,48,0.04150899999999069,"[0, 1, 5, 0, 3, 2, 5, 6]",10,100,1
36,10,6.0,60,0.05180889999999749,"[5, 1, 5, 0, 3, 2, 4, 6]",10,100,1
37,20,3.0,72,0.06288810000000922,"[5, 1, 5, 0, 7, 7, 4, 6]",10,100,1
38,50,2.0,99,0.07795799999999531,"[5, 1, 5, 0, 0, 7, 4, 6]",10,100,1
39,100,2.0,99,0.07795799999999531,"[5, 1, 5, 0, 0, 7, 4, 6]",10,100,1
40,0,8.0,99,0.0858062000000075,"[5, 7, 5, 1, 2, 0, 2, 5]",10,100,2
41,10,6.0,111,0.09618860000000495,"[5, 7, 5, 0, 2, 0, 3, 5]",10,100,2
42,20,4.0,123,0.10858239999998887,"[2, 7, 5, 7, 2, 0, 3, 5]",10,100,2
43,50,2.0,155,0.12518789999998603,"[1, 7, 5, 7, 2, 0, 3, 4]",10,100,2
44,100,2.0,165,0.13567710000000943,"[1, 7, 5, 7, 2, 0, 3, 4]",10,100,2
45,0,7.0,165,0.14405790000000707,"[1, 0, 3, 7, 7, 0, 4, 7]",10,100,3
46,10,4.0,178,0.15505959999998709,"[1, 7, 3, 0, 7, 7, 4, 7]",10,100,3
47,20,3.0,189,0.16574719999999843,"[1, 6, 3, 0, 7, 7, 4, 7]",10,100,3
48,50,3.0,205,0.17858989999999153,"[1, 6, 3, 0, 7, 7, 4, 7]",10,100,3
49,100,3.0,205,0.17858989999999153,"[1, 6, 3, 0, 7, 7, 4, 7]",10,100,3
50,0,8.0,205,0.18744780000000105,"[7, 1, 4, 1, 4, 1, 1, 2]",10,100,4
51,10,6.0,217,0.1997209999999825,"[7, 0, 4, 1, 4, 1, 1, 2]",10,100,4
