,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.000987500010523945,17.0,0.0,10,100
1,1,0.007289699977263808,17.0,1.0,10,100
2,2,0.007720800000242889,17.0,2.0,10,100
3,3,0.008512999978847802,16.0,4.0,10,100
4,4,0.00930299999890849,16.0,6.0,10,100
5,5,0.010085500020068139,17.0,8.0,10,100
6,6,0.010866699973121285,13.0,10.0,10,100
7,7,0.011647899984382093,13.0,12.0,10,100
8,8,0.012438600009772927,13.0,14.0,10,100
9,9,0.013220700027886778,13.0,16.0,10,100
10,10,0.013997700007166713,12.0,18.0,10,100
11,11,0.019972699985373765,12.0,19.0,10,100
12,12,0.020800700003746897,13.0,21.0,10,100
13,13,0.021605900023132563,15.0,23.0,10,100
14,14,0.02241069998126477,15.0,25.0,10,100
15,15,0.02330280002206564,15.0,27.0,10,100
16,16,0.024215699988417327,18.0,29.0,10,100
17,17,0.0250761000206694,18.0,31.0,10,100
18,18,0.025869700009934604,15.0,33.0,10,100
19,19,0.02628230000846088,15.0,34.0,10,100
20,20,0.02707060001557693,15.0,36.0,10,100
21,21,0.0330252000130713,15.0,38.0,10,100
22,22,0.033830199972726405,15.0,40.0,10,100
23,23,0.03462669998407364,18.0,42.0,10,100
24,24,0.03556559997377917,18.0,44.0,10,100
25,25,0.03640049998648465,20.0,46.0,10,100
26,26,0.037349099991843104,22.0,48.0,10,100
27,27,0.038240799971390516,24.0,50.0,10,100
28,28,0.03878569998778403,24.0,51.0,10,100
29,29,0.03965069999685511,21.0,53.0,10,100
30,30,0.04044349998002872,22.0,55.0,10,100
31,31,0.041230799979530275,22.0,57.0,10,100
32,32,0.041642699972726405,22.0,58.0,10,100
33,33,0.04242559999693185,19.0,60.0,10,100
34,34,0.04351809999207035,18.0,62.0,10,100
35,35,0.044631000026129186,19.0,64.0,10,100
36,36,0.045441500027664006,19.0,66.0,10,100
37,37,0.04586399998515844,19.0,67.0,10,100
38,38,0.046801600023172796,18.0,69.0,10,100
39,39,0.047678900009486824,18.0,71.0,10,100
40,40,0.048473100003320724,18.0,73.0,10,100
41,41,0.04925600002752617,16.0,75.0,10,100
42,42,0.049668400024529546,16.0,76.0,10,100
43,43,0.05044020002242178,15.0,78.0,10,100
44,44,0.050834499998018146,15.0,79.0,10,100
45,45,0.05160030000843108,13.0,81.0,10,100
46,46,0.052397800027392805,13.0,83.0,10,100
47,47,0.053181399998720735,13.0,85.0,10,100
48,48,0.053963900019880384,14.0,87.0,10,100
49,49,0.05473769997479394,13.0,89.0,10,100
50,50,0.05551430000923574,15.0,91.0,10,100
51,51,0.062217700004111975,13.0,93.0,10,100
52,52,0.06303000001935288,14.0,95.0,10,100
53,53,0.06381770002190024,13.0,97.0,10,100
54,54,0.06460629997309297,14.0,99.0,10,100
55,55,0.06539320002775639,14.0,101.0,10,100
56,56,0.0663646999746561,16.0,103.0,10,100
57,57,0.06738510000286624,16.0,105.0,10,100
58,58,0.06818840000778437,15.0,107.0,10,100
59,59,0.06860810000216588,15.0,108.0,10,100
60,60,0.06902529997751117,15.0,109.0,10,100
61,61,0.06980739999562502,15.0,111.0,10,100
62,62,0.07058310002321377,16.0,113.0,10,100
63,63,0.07135889999335632,16.0,115.0,10,100
64,64,0.07213480002246797,18.0,117.0,10,100
65,65,0.07291709998389706,22.0,119.0,10,100
66,66,0.07369859999744222,22.0,121.0,10,100
67,67,0.07447480002883822,21.0,123.0,10,100
68,68,0.07525990001158789,22.0,125.0,10,100
69,69,0.07603910000761971,21.0,127.0,10,100
70,70,0.07681639998918399,21.0,129.0,10,100
71,71,0.07759589998750016,21.0,131.0,10,100
72,72,0.07801280001876876,21.0,132.0,10,100
73,73,0.07878610002808273,19.0,134.0,10,100
74,74,0.07956839998951182,19.0,136.0,10,100
75,75,0.08034210000187159,16.0,138.0,10,100
76,76,0.08112629997776821,15.0,140.0,10,100
77,77,0.08190889999968931,15.0,142.0,10,100
78,78,0.08268460002727807,16.0,144.0,10,100
79,79,0.08346150000579655,17.0,146.0,10,100
80,80,0.08424519997788593,18.0,148.0,10,100
81,81,0.0850757000152953,19.0,150.0,10,100
82,82,0.08592600002884865,20.0,152.0,10,100
83,83,0.08674290002090856,19.0,154.0,10,100
84,84,0.08753279998200014,18.0,156.0,10,100
85,85,0.08831229998031631,16.0,158.0,10,100
86,86,0.08908399997744709,20.0,160.0,10,100
87,87,0.08948580001015216,20.0,161.0,10,100
88,88,0.09035720000974834,22.0,163.0,10,100
89,89,0.09130169998388737,22.0,165.0,10,100
90,90,0.09208530001342297,19.0,167.0,10,100
91,91,0.0928618999896571,18.0,169.0,10,100
92,92,0.09327890002168715,18.0,170.0,10,100
93,93,0.09406370000215247,20.0,172.0,10,100
94,94,0.09483840002212673,19.0,174.0,10,100
95,95,0.09561299998313189,17.0,176.0,10,100
96,96,0.0963874000008218,15.0,178.0,10,100
97,97,0.09716990002198145,17.0,180.0,10,100
98,98,0.09792969998670742,16.0,182.0,10,100
99,99,0.09869810001691803,16.0,184.0,10,100
100,100,0.09947850002208725,17.0,186.0,10,100
101,0,0.000987500010523945,17.0,0.0,10,100
102,1,0.007289699977263808,17.0,1.0,10,100
103,2,0.007720800000242889,17.0,2.0,10,100
104,3,0.008512999978847802,16.0,4.0,10,100
105,4,0.00930299999890849,16.0,6.0,10,100
106,5,0.010085500020068139,17.0,8.0,10,100
107,6,0.010866699973121285,13.0,10.0,10,100
108,7,0.011647899984382093,13.0,12.0,10,100
109,8,0.012438600009772927,13.0,14.0,10,100
110,9,0.013220700027886778,13.0,16.0,10,100
111,10,0.013997700007166713,12.0,18.0,10,100
112,11,0.019972699985373765,12.0,19.0,10,100
113,12,0.020800700003746897,13.0,21.0,10,100
114,13,0.021605900023132563,15.0,23.0,10,100
115,14,0.02241069998126477,15.0,25.0,10,100
116,15,0.02330280002206564,15.0,27.0,10,100
117,16,0.024215699988417327,18.0,29.0,10,100
118,17,0.0250761000206694,18.0,31.0,10,100
119,18,0.025869700009934604,15.0,33.0,10,100
120,19,0.02628230000846088,16.0,35.0,10,100
121,20,0.02707060001557693,17.0,37.0,10,100
122,21,0.0330252000130713,16.0,39.0,10,100
123,22,0.033830199972726405,16.0,41.0,10,100
124,23,0.03462669998407364,19.0,43.0,10,100
125,24,0.03556559997377917,22.0,45.0,10,100
126,25,0.03640049998648465,21.0,47.0,10,100
127,26,0.037349099991843104,23.0,49.0,10,100
128,27,0.038240799971390516,25.0,51.0,10,100
129,28,0.03878569998778403,27.0,53.0,10,100
130,29,0.03965069999685511,27.0,55.0,10,100
131,30,0.04044349998002872,25.0,57.0,10,100
132,31,0.041230799979530275,25.0,59.0,10,100
133,32,0.041642699972726405,25.0,61.0,10,100
134,33,0.04242559999693185,25.0,62.0,10,100
135,34,0.04351809999207035,22.0,64.0,10,100
136,35,0.044631000026129186,21.0,66.0,10,100
137,36,0.045441500027664006,21.0,68.0,10,100
138,37,0.04586399998515844,20.0,70.0,10,100
139,38,0.046801600023172796,22.0,72.0,10,100
140,39,0.047678900009486824,22.0,74.0,10,100
141,40,0.048473100003320724,19.0,76.0,10,100
142,41,0.04925600002752617,21.0,78.0,10,100
143,42,0.049668400024529546,18.0,80.0,10,100
144,43,0.05044020002242178,18.0,81.0,10,100
145,44,0.050834499998018146,18.0,82.0,10,100
146,45,0.05160030000843108,18.0,84.0,10,100
147,46,0.052397800027392805,16.0,86.0,10,100
148,47,0.053181399998720735,18.0,88.0,10,100
149,48,0.053963900019880384,18.0,90.0,10,100
150,49,0.05473769997479394,15.0,92.0,10,100
151,50,0.05551430000923574,15.0,94.0,10,100
152,51,0.062217700004111975,15.0,96.0,10,100
153,52,0.06303000001935288,17.0,98.0,10,100
154,53,0.06381770002190024,15.0,100.0,10,100
155,54,0.06460629997309297,16.0,102.0,10,100
156,55,0.06539320002775639,17.0,104.0,10,100
157,56,0.0663646999746561,17.0,106.0,10,100
158,57,0.06738510000286624,17.0,108.0,10,100
159,58,0.06818840000778437,17.0,110.0,10,100
160,59,0.06860810000216588,16.0,112.0,10,100
161,60,0.06902529997751117,15.0,114.0,10,100
162,61,0.06980739999562502,16.0,116.0,10,100
