,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,6.0,0,0.0005773999999973967,"[2, 6, 7, 5, 1, 0, 7, 0]",geometric,10,0.99,0.001,9.999941969529159,10,100,
1,10,7.0,19,0.012898200000023508,"[2, 6, 7, 0, 1, 7, 0, 0]",geometric,10,0.99,0.001,9.998703771598604,10,100,
2,20,5.0,39,0.02213020000002075,"[5, 2, 3, 0, 4, 7, 0, 3]",geometric,10,0.99,0.001,9.997776087900867,10,100,
3,50,7.0,97,0.04094040000001087,"[6, 7, 1, 5, 7, 7, 6, 2]",geometric,10,0.99,0.001,9.995886198700424,10,100,
4,100,7.0,190,0.06594890000002351,"[5, 1, 3, 1, 0, 5, 3, 2]",geometric,10,0.99,0.001,9.993374110149247,10,100,
5,0,6.0,0,0.000489599999980328,"[2, 6, 7, 5, 1, 0, 7, 0]",arithmetic,10,0.0001,0.001,9.99999995104,10,100,
6,10,7.0,19,0.009872399999977688,"[2, 6, 7, 0, 1, 7, 0, 0]",arithmetic,10,0.0001,0.001,9.99999901276,10,100,
7,20,5.0,39,0.019794700000005605,"[5, 2, 3, 0, 4, 7, 0, 3]",arithmetic,10,0.0001,0.001,9.99999802053,10,100,
8,50,6.0,98,0.03749309999997763,"[1, 7, 6, 1, 0, 0, 6, 0]",arithmetic,10,0.0001,0.001,9.99999625069,10,100,
9,100,6.0,195,0.06353289999998424,"[6, 1, 3, 6, 0, 5, 3, 2]",arithmetic,10,0.0001,0.001,9.99999364671,10,100,
10,0,6.0,0,0.0005977999999799977,"[2, 6, 7, 5, 1, 0, 7, 0]",exponential,10,,0.001,9.999970110044671,10,100,0.005
11,10,7.0,19,0.011812099999986003,"[2, 6, 7, 0, 1, 7, 0, 0]",exponential,10,,0.001,9.999409412440372,10,100,0.005
12,20,5.0,39,0.022372599999982867,"[5, 2, 3, 0, 4, 7, 0, 3]",exponential,10,,0.001,9.998881432564321,10,100,0.005
13,50,7.0,97,0.043016699999981256,"[6, 7, 1, 5, 7, 7, 6, 2]",exponential,10,,0.001,9.997849396287979,10,100,0.005
14,100,6.0,192,0.07140139999998496,"[6, 0, 2, 6, 0, 2, 7, 2]",exponential,10,,0.001,9.99643056719416,10,100,0.005
15,0,6.0,0,0.00048789999999598876,"[2, 6, 7, 5, 1, 0, 7, 0]",geometric,20,0.99,0.001,19.999901929063192,20,100,
16,10,7.0,19,0.01296300000001338,"[2, 6, 7, 0, 1, 7, 0, 0]",geometric,20,0.99,0.001,19.997394519654556,20,100,
17,20,5.0,39,0.033301300000005085,"[5, 2, 3, 0, 4, 7, 0, 3]",geometric,20,0.99,0.001,19.993307335056812,20,100,
18,50,6.0,98,0.05440110000000686,"[1, 7, 6, 1, 0, 0, 6, 0]",geometric,20,0.99,0.001,19.98906800228752,20,100,
19,100,6.0,195,0.08537920000000554,"[6, 1, 3, 6, 0, 5, 3, 2]",geometric,20,0.99,0.001,19.98284556837451,20,100,
20,0,6.0,0,0.0014429000000006909,"[2, 6, 7, 5, 1, 0, 7, 0]",arithmetic,20,0.0001,0.001,19.99999985571,20,100,
21,10,7.0,19,0.015933100000012246,"[2, 6, 7, 0, 1, 7, 0, 0]",arithmetic,20,0.0001,0.001,19.99999840669,20,100,
22,20,5.0,39,0.028210999999998876,"[5, 2, 3, 0, 4, 7, 0, 3]",arithmetic,20,0.0001,0.001,19.9999971789,20,100,
23,50,7.0,99,0.05020820000001436,"[6, 7, 1, 5, 7, 7, 6, 2]",arithmetic,20,0.0001,0.001,19.99999497918,20,100,
24,100,6.0,197,0.08065709999999626,"[5, 0, 5, 1, 6, 0, 4, 2]",arithmetic,20,0.0001,0.001,19.99999193429,20,100,
25,0,6.0,0,0.0007459999999923639,"[2, 6, 7, 5, 1, 0, 7, 0]",exponential,20,,0.001,19.99992540013913,20,100,0.005
