,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,197.66649171001617,0,0.00027959997532889247,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",5,100,0
1,10,157.44548442612236,15,0.012585399963427335,"[13, 3, 5, 0, 19, 6, 4, 17, 12, 11, 2, 10, 9, 15, 16, 7, 8, 1, 18, 14]",5,100,0
2,20,152.150339253296,28,0.01793510001152754,"[13, 3, 5, 6, 19, 12, 4, 17, 0, 11, 2, 10, 9, 15, 16, 7, 8, 14, 18, 1]",5,100,0
3,50,140.55735431027512,60,0.02437110000755638,"[13, 3, 2, 6, 19, 12, 17, 4, 0, 11, 5, 10, 9, 15, 16, 7, 8, 14, 18, 1]",5,100,0
4,100,120.66388940724924,116,0.0343216999899596,"[18, 5, 13, 6, 19, 14, 17, 1, 0, 11, 3, 10, 9, 15, 16, 7, 8, 4, 2, 12]",5,100,0
5,0,199.06439337919784,116,0.039098699984606355,"[11, 12, 18, 10, 17, 13, 14, 1, 3, 5, 16, 15, 6, 7, 19, 2, 9, 0, 8, 4]",5,100,1
6,10,174.0423048600671,132,0.044426399981603026,"[11, 8, 18, 17, 10, 13, 15, 12, 3, 5, 16, 14, 6, 7, 19, 9, 0, 2, 1, 4]",5,100,1
7,20,149.74508421946697,147,0.04993729997659102,"[11, 8, 9, 17, 16, 13, 15, 12, 3, 5, 2, 14, 6, 7, 19, 10, 4, 18, 1, 0]",5,100,1
8,50,124.47484054634016,182,0.05806369998026639,"[11, 3, 9, 13, 16, 8, 15, 10, 12, 5, 2, 14, 6, 7, 19, 17, 4, 18, 1, 0]",5,100,1
9,100,113.95742869507612,235,0.06845660001272336,"[11, 3, 9, 13, 16, 19, 15, 8, 10, 5, 2, 14, 6, 7, 12, 17, 4, 18, 1, 0]",5,100,1
10,0,221.82912613453857,235,0.07392220001202077,"[18, 13, 3, 0, 14, 5, 9, 1, 15, 10, 17, 8, 16, 6, 11, 7, 2, 4, 19, 12]",5,100,2
11,10,201.0057355736195,250,0.0800168999703601,"[6, 12, 3, 18, 14, 5, 9, 1, 15, 10, 13, 8, 16, 0, 11, 7, 2, 19, 4, 17]",5,100,2
12,20,184.06281765429443,263,0.0867629999993369,"[4, 14, 3, 18, 12, 5, 9, 8, 15, 10, 13, 1, 16, 0, 11, 7, 2, 19, 6, 17]",5,100,2
13,50,164.76835052420114,302,0.09578209999017417,"[4, 1, 14, 18, 12, 5, 0, 8, 19, 6, 7, 2, 16, 13, 11, 3, 9, 15, 10, 17]",5,100,2
14,100,133.52703616621307,361,0.10836620000191033,"[4, 1, 11, 18, 12, 3, 0, 13, 8, 16, 7, 14, 6, 19, 5, 10, 9, 15, 17, 2]",5,100,2
15,0,173.10991289800629,361,0.1141592999920249,"[7, 13, 0, 15, 11, 6, 19, 16, 14, 17, 8, 10, 5, 18, 3, 12, 2, 4, 1, 9]",5,100,3
16,10,157.22189032913099,377,0.12093299999833107,"[8, 13, 0, 7, 11, 19, 6, 16, 14, 17, 18, 3, 5, 10, 15, 12, 2, 4, 1, 9]",5,100,3
17,20,144.5063370095714,390,0.12856509996345267,"[8, 13, 19, 7, 11, 12, 6, 16, 14, 17, 18, 5, 3, 10, 15, 0, 2, 4, 1, 9]",5,100,3
18,50,132.4965609561216,424,0.13903530000243336,"[8, 13, 7, 15, 11, 12, 6, 16, 14, 17, 2, 5, 3, 10, 1, 0, 18, 4, 19, 9]",5,100,3
19,100,123.01367257927126,480,0.1531575999688357,"[8, 13, 7, 15, 11, 0, 6, 16, 14, 17, 12, 10, 3, 5, 1, 4, 18, 2, 19, 9]",5,100,3
20,0,198.65968475823658,480,0.15921409998554736,"[10, 19, 3, 1, 17, 14, 0, 16, 15, 9, 5, 4, 8, 18, 7, 12, 13, 6, 2, 11]",5,100,4
21,10,177.9167333461151,494,0.16658389999065548,"[19, 10, 3, 1, 17, 14, 6, 16, 15, 9, 5, 2, 8, 18, 4, 12, 13, 0, 7, 11]",5,100,4
22,20,151.61614808461417,507,0.17465090000769123,"[19, 10, 3, 8, 17, 14, 6, 16, 15, 9, 5, 2, 1, 18, 4, 7, 13, 12, 0, 11]",5,100,4
23,50,138.3498761270822,542,0.18605019996175542,"[4, 10, 3, 8, 6, 14, 16, 7, 15, 9, 5, 2, 1, 18, 12, 17, 13, 19, 0, 11]",5,100,4
24,100,121.6016950336069,595,0.20088859996758401,"[4, 10, 3, 5, 19, 13, 16, 7, 15, 9, 8, 2, 1, 18, 12, 17, 14, 6, 0, 11]",5,100,4
25,0,211.85610481144838,595,0.2079850999871269,"[9, 4, 15, 6, 7, 10, 12, 5, 18, 13, 8, 2, 3, 1, 17, 16, 0, 14, 19, 11]",5,100,5
26,10,172.15639577089476,610,0.21649730001809075,"[9, 14, 10, 16, 7, 15, 12, 5, 18, 13, 8, 19, 3, 1, 17, 6, 2, 4, 0, 11]",5,100,5
27,20,165.90920997094537,621,0.22528700000839308,"[9, 13, 10, 16, 7, 15, 12, 5, 18, 14, 8, 19, 3, 1, 17, 6, 2, 4, 0, 11]",5,100,5
28,50,132.8580308840985,656,0.23807079996913671,"[9, 15, 19, 16, 7, 8, 6, 4, 18, 14, 13, 10, 3, 1, 17, 12, 2, 5, 0, 11]",5,100,5
29,100,123.10595737667393,710,0.25561449996894225,"[9, 19, 6, 16, 7, 8, 15, 18, 4, 12, 13, 10, 3, 1, 17, 14, 2, 5, 0, 11]",5,100,5
30,0,197.66649171001617,0,0.0001194999786093831,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",10,100,0
31,10,157.44548442612236,15,0.008066100010182709,"[13, 3, 5, 0, 19, 6, 4, 17, 12, 11, 2, 10, 9, 15, 16, 7, 8, 1, 18, 14]",10,100,0
32,20,152.150339253296,28,0.016464399988763034,"[13, 3, 5, 6, 19, 12, 4, 17, 0, 11, 2, 10, 9, 15, 16, 7, 8, 14, 18, 1]",10,100,0
33,50,140.55735431027512,60,0.025959999999031425,"[13, 3, 2, 6, 19, 12, 17, 4, 0, 11, 5, 10, 9, 15, 16, 7, 8, 14, 18, 1]",10,100,0
34,100,120.66388940724924,116,0.03843610000330955,"[18, 5, 13, 6, 19, 14, 17, 1, 0, 11, 3, 10, 9, 15, 16, 7, 8, 4, 2, 12]",10,100,0
35,0,199.06439337919784,116,0.0460925999796018,"[11, 12, 18, 10, 17, 13, 14, 1, 3, 5, 16, 15, 6, 7, 19, 2, 9, 0, 8, 4]",10,100,1
36,10,174.0423048600671,132,0.05545819998951629,"[11, 8, 18, 17, 10, 13, 15, 12, 3, 5, 16, 14, 6, 7, 19, 9, 0, 2, 1, 4]",10,100,1
37,20,149.74508421946697,147,0.06447689997730777,"[11, 8, 9, 17, 16, 13, 15, 12, 3, 5, 2, 14, 6, 7, 19, 10, 4, 18, 1, 0]",10,100,1
38,50,124.47484054634016,182,0.07567250001011416,"[11, 3, 9, 13, 16, 8, 15, 10, 12, 5, 2, 14, 6, 7, 19, 17, 4, 18, 1, 0]",10,100,1
39,100,113.95742869507612,235,0.08910380001179874,"[11, 3, 9, 13, 16, 19, 15, 8, 10, 5, 2, 14, 6, 7, 12, 17, 4, 18, 1, 0]",10,100,1
40,0,221.82912613453857,235,0.0971014000242576,"[18, 13, 3, 0, 14, 5, 9, 1, 15, 10, 17, 8, 16, 6, 11, 7, 2, 4, 19, 12]",10,100,2
41,10,201.0057355736195,250,0.10630669997772202,"[6, 12, 3, 18, 14, 5, 9, 1, 15, 10, 13, 8, 16, 0, 11, 7, 2, 19, 4, 17]",10,100,2
42,20,184.06281765429443,263,0.11572709999745712,"[4, 14, 3, 18, 12, 5, 9, 8, 15, 10, 13, 1, 16, 0, 11, 7, 2, 19, 6, 17]",10,100,2
43,50,164.76835052420114,302,0.12787480000406504,"[4, 1, 14, 18, 12, 5, 0, 8, 19, 6, 7, 2, 16, 13, 11, 3, 9, 15, 10, 17]",10,100,2
44,100,133.52703616621307,361,0.1424494999810122,"[4, 1, 11, 18, 12, 3, 0, 13, 8, 16, 7, 14, 6, 19, 5, 10, 9, 15, 17, 2]",10,100,2
45,0,173.10991289800629,361,0.1511476999730803,"[7, 13, 0, 15, 11, 6, 19, 16, 14, 17, 8, 10, 5, 18, 3, 12, 2, 4, 1, 9]",10,100,3
46,10,157.22189032913099,377,0.16139249998377636,"[8, 13, 0, 7, 11, 19, 6, 16, 14, 17, 18, 3, 5, 10, 15, 12, 2, 4, 1, 9]",10,100,3
47,20,144.5063370095714,390,0.180488099984359,"[8, 13, 19, 7, 11, 12, 6, 16, 14, 17, 18, 5, 3, 10, 15, 0, 2, 4, 1, 9]",10,100,3
48,50,132.4965609561216,424,0.19391299999551848,"[8, 13, 7, 15, 11, 12, 6, 16, 14, 17, 2, 5, 3, 10, 1, 0, 18, 4, 19, 9]",10,100,3
49,100,123.01367257927126,480,0.2099949999828823,"[8, 13, 7, 15, 11, 0, 6, 16, 14, 17, 12, 10, 3, 5, 1, 4, 18, 2, 19, 9]",10,100,3
50,0,198.65968475823658,480,0.2189990999759175,"[10, 19, 3, 1, 17, 14, 0, 16, 15, 9, 5, 4, 8, 18, 7, 12, 13, 6, 2, 11]",10,100,4
51,10,177.9167333461151,494,0.23003849998349324,"[19, 10, 3, 1, 17, 14, 6, 16, 15, 9, 5, 2, 8, 18, 4, 12, 13, 0, 7, 11]",10,100,4
52,20,151.61614808461417,507,0.2406071000150405,"[19, 10, 3, 8, 17, 14, 6, 16, 15, 9, 5, 2, 1, 18, 4, 7, 13, 12, 0, 11]",10,100,4
53,50,138.3498761270822,542,0.25484900001902133,"[4, 10, 3, 8, 6, 14, 16, 7, 15, 9, 5, 2, 1, 18, 12, 17, 13, 19, 0, 11]",10,100,4
54,100,121.6016950336069,595,0.2723204999929294,"[4, 10, 3, 5, 19, 13, 16, 7, 15, 9, 8, 2, 1, 18, 12, 17, 14, 6, 0, 11]",10,100,4
55,0,211.85610481144838,595,0.2813816000125371,"[9, 4, 15, 6, 7, 10, 12, 5, 18, 13, 8, 2, 3, 1, 17, 16, 0, 14, 19, 11]",10,100,5
56,10,172.15639577089476,610,0.29252670001005754,"[9, 14, 10, 16, 7, 15, 12, 5, 18, 13, 8, 19, 3, 1, 17, 6, 2, 4, 0, 11]",10,100,5
57,20,165.90920997094537,621,0.30399190000025555,"[9, 13, 10, 16, 7, 15, 12, 5, 18, 14, 8, 19, 3, 1, 17, 6, 2, 4, 0, 11]",10,100,5
58,50,132.8580308840985,656,0.3188335999730043,"[9, 15, 19, 16, 7, 8, 6, 4, 18, 14, 13, 10, 3, 1, 17, 12, 2, 5, 0, 11]",10,100,5
59,100,123.10595737667393,710,0.33760239998809993,"[9, 19, 6, 16, 7, 8, 15, 18, 4, 12, 13, 10, 3, 1, 17, 14, 2, 5, 0, 11]",10,100,5
60,0,183.16085772420763,710,0.34694419999141246,"[8, 1, 18, 3, 10, 0, 4, 5, 2, 16, 17, 9, 11, 19, 13, 14, 7, 15, 12, 6]",10,100,6
61,10,169.3271738511478,723,0.3589038000209257,"[19, 1, 18, 3, 10, 5, 4, 0, 15, 16, 17, 9, 11, 8, 13, 14, 7, 2, 12, 6]",10,100,6
62,20,159.20801138121234,735,0.37011369998799637,"[19, 1, 18, 3, 10, 5, 4, 17, 15, 16, 7, 9, 11, 8, 13, 14, 0, 2, 12, 6]",10,100,6
63,50,148.60780759033256,768,0.38641620002454147,"[19, 1, 18, 3, 10, 0, 4, 17, 7, 16, 15, 9, 11, 8, 13, 14, 2, 5, 12, 6]",10,100,6
64,100,135.86387578585345,824,0.40636710001854226,"[11, 1, 18, 3, 10, 0, 4, 14, 7, 16, 8, 9, 13, 15, 2, 17, 12, 5, 19, 6]",10,100,6
65,0,180.24677033854616,824,0.41600510000716895,"[18, 8, 16, 19, 13, 12, 4, 3, 9, 7, 10, 11, 1, 14, 6, 15, 2, 5, 17, 0]",10,100,7
66,10,162.95060086361016,838,0.432054299977608,"[7, 8, 16, 19, 13, 18, 4, 3, 10, 12, 2, 11, 1, 14, 6, 15, 9, 5, 17, 0]",10,100,7
67,20,144.75688235099608,852,0.444639699999243,"[7, 16, 8, 19, 5, 18, 1, 3, 10, 12, 2, 11, 4, 0, 6, 15, 9, 13, 17, 14]",10,100,7
68,50,131.0636123032573,886,0.4609684000024572,"[7, 15, 8, 19, 2, 18, 1, 4, 10, 12, 5, 11, 0, 3, 6, 16, 9, 13, 17, 14]",10,100,7
69,100,110.76697989535839,942,0.4926428999751806,"[7, 8, 15, 9, 13, 4, 1, 18, 12, 10, 5, 11, 0, 3, 19, 16, 6, 2, 17, 14]",10,100,7
70,0,191.64386124011446,942,0.5027699000202119,"[3, 11, 16, 13, 9, 10, 5, 17, 14, 18, 7, 2, 4, 6, 1, 8, 0, 12, 19, 15]",10,100,8
71,10,164.08969767453237,956,0.5149742999929003,"[3, 11, 16, 7, 9, 10, 5, 18, 14, 17, 19, 2, 4, 1, 6, 8, 0, 12, 13, 15]",10,100,8
72,20,148.54603481666737,968,0.5303272000164725,"[3, 11, 16, 7, 9, 10, 5, 18, 14, 17, 12, 2, 4, 1, 6, 8, 13, 19, 0, 15]",10,100,8
73,50,127.11751942555789,1002,0.5485381999751553,"[3, 11, 16, 7, 13, 10, 9, 6, 14, 17, 12, 2, 4, 1, 18, 8, 15, 19, 0, 5]",10,100,8
74,100,97.57336159655405,1056,0.5713495999807492,"[3, 19, 16, 7, 13, 15, 8, 6, 14, 17, 12, 2, 4, 1, 18, 9, 10, 5, 0, 11]",10,100,8
75,0,210.5299450920501,1056,0.5818805000162683,"[13, 6, 11, 14, 12, 8, 16, 2, 3, 4, 10, 15, 18, 19, 9, 7, 17, 0, 1, 5]",10,100,9
76,10,180.02762576186547,1071,0.5947299000108615,"[16, 6, 1, 14, 19, 8, 13, 5, 3, 4, 10, 15, 18, 11, 9, 7, 17, 0, 12, 2]",10,100,9
77,20,178.53741767333457,1082,0.6076194000197574,"[16, 6, 1, 14, 19, 8, 13, 3, 5, 4, 10, 15, 18, 11, 9, 7, 17, 0, 12, 2]",10,100,9
78,50,150.48742440464974,1121,0.6258568000048399,"[1, 6, 14, 17, 15, 8, 13, 2, 18, 4, 11, 19, 5, 10, 9, 7, 16, 3, 0, 12]",10,100,9
79,100,131.8643366459288,1178,0.649557399970945,"[1, 6, 14, 17, 15, 8, 9, 11, 18, 4, 2, 12, 10, 13, 19, 16, 7, 3, 0, 5]",10,100,9
80,0,227.3397183516238,1178,0.6604553000070155,"[18, 0, 19, 1, 7, 17, 10, 13, 9, 14, 11, 15, 12, 8, 6, 4, 2, 3, 16, 5]",10,100,10
81,10,167.8873578654826,1195,0.6739353999728337,"[18, 0, 14, 6, 7, 17, 10, 13, 8, 16, 11, 3, 9, 12, 1, 4, 2, 19, 15, 5]",10,100,10
82,20,160.29993903755602,1209,0.6890906000044197,"[11, 0, 19, 6, 7, 17, 10, 13, 8, 16, 18, 3, 2, 12, 1, 4, 14, 9, 15, 5]",10,100,10
83,50,137.64377958128927,1245,0.7098071000073105,"[11, 0, 17, 6, 7, 19, 10, 12, 14, 16, 13, 5, 2, 18, 1, 4, 9, 8, 15, 3]",10,100,10
84,100,132.95807254326445,1298,0.7359289000160061,"[11, 0, 17, 6, 16, 19, 10, 5, 14, 7, 13, 2, 12, 18, 1, 4, 9, 8, 15, 3]",10,100,10
85,0,197.66649171001617,0,0.00011560000712051988,"[19, 3, 18, 6, 13, 4, 0, 17, 12, 11, 15, 10, 9, 2, 16, 7, 8, 1, 5, 14]",15,100,0
86,10,157.44548442612236,15,0.01202480000210926,"[13, 3, 5, 0, 19, 6, 4, 17, 12, 11, 2, 10, 9, 15, 16, 7, 8, 1, 18, 14]",15,100,0
87,20,152.150339253296,28,0.024054300040006638,"[13, 3, 5, 6, 19, 12, 4, 17, 0, 11, 2, 10, 9, 15, 16, 7, 8, 14, 18, 1]",15,100,0
88,50,140.55735431027512,60,0.03749489999609068,"[13, 3, 2, 6, 19, 12, 17, 4, 0, 11, 5, 10, 9, 15, 16, 7, 8, 14, 18, 1]",15,100,0
89,100,120.66388940724924,116,0.05338810000102967,"[18, 5, 13, 6, 19, 14, 17, 1, 0, 11, 3, 10, 9, 15, 16, 7, 8, 4, 2, 12]",15,100,0
90,0,199.06439337919784,116,0.06507439998677,"[11, 12, 18, 10, 17, 13, 14, 1, 3, 5, 16, 15, 6, 7, 19, 2, 9, 0, 8, 4]",15,100,1
91,10,174.0423048600671,132,0.07778849999886006,"[11, 8, 18, 17, 10, 13, 15, 12, 3, 5, 16, 14, 6, 7, 19, 9, 0, 2, 1, 4]",15,100,1
92,20,149.74508421946697,147,0.0905536999925971,"[11, 8, 9, 17, 16, 13, 15, 12, 3, 5, 2, 14, 6, 7, 19, 10, 4, 18, 1, 0]",15,100,1
93,50,124.47484054634016,182,0.10501250001834705,"[11, 3, 9, 13, 16, 8, 15, 10, 12, 5, 2, 14, 6, 7, 19, 17, 4, 18, 1, 0]",15,100,1
94,100,113.95742869507612,235,0.12192820000927895,"[11, 3, 9, 13, 16, 19, 15, 8, 10, 5, 2, 14, 6, 7, 12, 17, 4, 18, 1, 0]",15,100,1
95,0,221.82912613453857,235,0.13403310003923252,"[18, 13, 3, 0, 14, 5, 9, 1, 15, 10, 17, 8, 16, 6, 11, 7, 2, 4, 19, 12]",15,100,2
96,10,201.0057355736195,250,0.14717539999401197,"[6, 12, 3, 18, 14, 5, 9, 1, 15, 10, 13, 8, 16, 0, 11, 7, 2, 19, 4, 17]",15,100,2
97,20,184.06281765429443,263,0.16036660003010184,"[4, 14, 3, 18, 12, 5, 9, 8, 15, 10, 13, 1, 16, 0, 11, 7, 2, 19, 6, 17]",15,100,2
98,50,164.76835052420114,302,0.17596140003297478,"[4, 1, 14, 18, 12, 5, 0, 8, 19, 6, 7, 2, 16, 13, 11, 3, 9, 15, 10, 17]",15,100,2
99,100,133.52703616621307,361,0.19474000000627711,"[4, 1, 11, 18, 12, 3, 0, 13, 8, 16, 7, 14, 6, 19, 5, 10, 9, 15, 17, 2]",15,100,2
100,0,173.10991289800629,361,0.20744460000423715,"[7, 13, 0, 15, 11, 6, 19, 16, 14, 17, 8, 10, 5, 18, 3, 12, 2, 4, 1, 9]",15,100,3
101,10,157.22189032913099,377,0.22127869998803362,"[8, 13, 0, 7, 11, 19, 6, 16, 14, 17, 18, 3, 5, 10, 15, 12, 2, 4, 1, 9]",15,100,3
102,20,144.5063370095714,390,0.23514770000474527,"[8, 13, 19, 7, 11, 12, 6, 16, 14, 17, 18, 5, 3, 10, 15, 0, 2, 4, 1, 9]",15,100,3
103,50,132.4965609561216,424,0.2535520000383258,"[8, 13, 7, 15, 11, 12, 6, 16, 14, 17, 2, 5, 3, 10, 1, 0, 18, 4, 19, 9]",15,100,3
104,100,123.01367257927126,480,0.2738656000001356,"[8, 13, 7, 15, 11, 0, 6, 16, 14, 17, 12, 10, 3, 5, 1, 4, 18, 2, 19, 9]",15,100,3
105,0,198.65968475823658,480,0.2869257000274956,"[10, 19, 3, 1, 17, 14, 0, 16, 15, 9, 5, 4, 8, 18, 7, 12, 13, 6, 2, 11]",15,100,4
106,10,177.9167333461151,494,0.3016561000258662,"[19, 10, 3, 1, 17, 14, 6, 16, 15, 9, 5, 2, 8, 18, 4, 12, 13, 0, 7, 11]",15,100,4
107,20,151.61614808461417,507,0.3162601999938488,"[19, 10, 3, 8, 17, 14, 6, 16, 15, 9, 5, 2, 1, 18, 4, 7, 13, 12, 0, 11]",15,100,4
108,50,138.3498761270822,542,0.333907000022009,"[4, 10, 3, 8, 6, 14, 16, 7, 15, 9, 5, 2, 1, 18, 12, 17, 13, 19, 0, 11]",15,100,4
109,100,121.6016950336069,595,0.3550311999861151,"[4, 10, 3, 5, 19, 13, 16, 7, 15, 9, 8, 2, 1, 18, 12, 17, 14, 6, 0, 11]",15,100,4
110,0,211.85610481144838,595,0.36998449999373406,"[9, 4, 15, 6, 7, 10, 12, 5, 18, 13, 8, 2, 3, 1, 17, 16, 0, 14, 19, 11]",15,100,5
111,10,172.15639577089476,610,0.38549389998661354,"[9, 14, 10, 16, 7, 15, 12, 5, 18, 13, 8, 19, 3, 1, 17, 6, 2, 4, 0, 11]",15,100,5
112,20,165.90920997094537,621,0.4007329000160098,"[9, 13, 10, 16, 7, 15, 12, 5, 18, 14, 8, 19, 3, 1, 17, 6, 2, 4, 0, 11]",15,100,5
113,50,132.8580308840985,656,0.42097500001545995,"[9, 15, 19, 16, 7, 8, 6, 4, 18, 14, 13, 10, 3, 1, 17, 12, 2, 5, 0, 11]",15,100,5
114,100,123.10595737667393,710,0.4439591999980621,"[9, 19, 6, 16, 7, 8, 15, 18, 4, 12, 13, 10, 3, 1, 17, 14, 2, 5, 0, 11]",15,100,5
115,0,183.16085772420763,710,0.45785770000657067,"[8, 1, 18, 3, 10, 0, 4, 5, 2, 16, 17, 9, 11, 19, 13, 14, 7, 15, 12, 6]",15,100,6
116,10,169.3271738511478,723,0.4734998000203632,"[19, 1, 18, 3, 10, 5, 4, 0, 15, 16, 17, 9, 11, 8, 13, 14, 7, 2, 12, 6]",15,100,6
117,20,159.20801138121234,735,0.4891928000142798,"[19, 1, 18, 3, 10, 5, 4, 17, 15, 16, 7, 9, 11, 8, 13, 14, 0, 2, 12, 6]",15,100,6
118,50,148.60780759033256,768,0.508731700014323,"[19, 1, 18, 3, 10, 0, 4, 17, 7, 16, 15, 9, 11, 8, 13, 14, 2, 5, 12, 6]",15,100,6
119,100,135.86387578585345,824,0.5325450000236742,"[11, 1, 18, 3, 10, 0, 4, 14, 7, 16, 8, 9, 13, 15, 2, 17, 12, 5, 19, 6]",15,100,6
120,0,180.24677033854616,824,0.5468228000099771,"[18, 8, 16, 19, 13, 12, 4, 3, 9, 7, 10, 11, 1, 14, 6, 15, 2, 5, 17, 0]",15,100,7
121,10,162.95060086361016,838,0.5631281000096351,"[7, 8, 16, 19, 13, 18, 4, 3, 10, 12, 2, 11, 1, 14, 6, 15, 9, 5, 17, 0]",15,100,7
122,20,144.75688235099608,852,0.579523499996867,"[7, 16, 8, 19, 5, 18, 1, 3, 10, 12, 2, 11, 4, 0, 6, 15, 9, 13, 17, 14]",15,100,7
123,50,131.0636123032573,886,0.6002088999957778,"[7, 15, 8, 19, 2, 18, 1, 4, 10, 12, 5, 11, 0, 3, 6, 16, 9, 13, 17, 14]",15,100,7
124,100,110.76697989535839,942,0.62594940001145,"[7, 8, 15, 9, 13, 4, 1, 18, 12, 10, 5, 11, 0, 3, 19, 16, 6, 2, 17, 14]",15,100,7
125,0,191.64386124011446,942,0.6406433000229299,"[3, 11, 16, 13, 9, 10, 5, 17, 14, 18, 7, 2, 4, 6, 1, 8, 0, 12, 19, 15]",15,100,8
126,10,164.08969767453237,956,0.657624899991788,"[3, 11, 16, 7, 9, 10, 5, 18, 14, 17, 19, 2, 4, 1, 6, 8, 0, 12, 13, 15]",15,100,8
127,20,148.54603481666737,968,0.6745587000041269,"[3, 11, 16, 7, 9, 10, 5, 18, 14, 17, 12, 2, 4, 1, 6, 8, 13, 19, 0, 15]",15,100,8
128,50,127.11751942555789,1002,0.6965642000432126,"[3, 11, 16, 7, 13, 10, 9, 6, 14, 17, 12, 2, 4, 1, 18, 8, 15, 19, 0, 5]",15,100,8
129,100,97.57336159655405,1056,0.7241956000216305,"[3, 19, 16, 7, 13, 15, 8, 6, 14, 17, 12, 2, 4, 1, 18, 9, 10, 5, 0, 11]",15,100,8
130,0,210.5299450920501,1056,0.7395539000281133,"[13, 6, 11, 14, 12, 8, 16, 2, 3, 4, 10, 15, 18, 19, 9, 7, 17, 0, 1, 5]",15,100,9
131,10,180.02762576186547,1071,0.7586253000190482,"[16, 6, 1, 14, 19, 8, 13, 5, 3, 4, 10, 15, 18, 11, 9, 7, 17, 0, 12, 2]",15,100,9
132,20,178.53741767333457,1082,0.7892467000056058,"[16, 6, 1, 14, 19, 8, 13, 3, 5, 4, 10, 15, 18, 11, 9, 7, 17, 0, 12, 2]",15,100,9
