,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,1100.0516346049103,0,0.00025649997405707836,"[6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33, 15, 16, 27, 37, 20, 24, 47, 13, 10, 19, 29, 42, 45, 26, 32, 17, 44, 34, 14, 2, 43, 35, 21, 0, 3, 38, 36, 49, 30, 39, 9, 8, 23, 40, 1, 5, 46]",geometric,1,0.99,0.001,0.9999974220924371,1,1000,
1,10,1032.3157753097498,16,0.007356800022535026,"[6, 48, 11, 4, 12, 31, 39, 25, 41, 18, 28, 10, 33, 15, 16, 27, 37, 24, 20, 47, 13, 22, 19, 29, 49, 45, 26, 32, 17, 44, 34, 5, 2, 43, 35, 21, 0, 3, 38, 36, 42, 30, 7, 9, 8, 23, 40, 1, 14, 46]",geometric,1,0.99,0.001,0.999926064422336,1,1000,
2,50,790.994910206972,71,0.017231600009836257,"[0, 48, 11, 4, 12, 31, 39, 25, 41, 27, 21, 10, 2, 15, 16, 26, 37, 24, 38, 47, 13, 22, 19, 45, 17, 20, 36, 32, 43, 44, 18, 29, 34, 49, 35, 28, 6, 3, 5, 33, 1, 30, 7, 9, 8, 23, 40, 42, 14, 46]",geometric,1,0.99,0.001,0.9998268316279817,1,1000,
3,100,699.8407895133896,130,0.028240500018000603,"[31, 48, 11, 4, 12, 0, 39, 25, 41, 8, 21, 10, 16, 45, 2, 26, 37, 24, 38, 7, 13, 22, 23, 15, 17, 28, 36, 32, 43, 44, 18, 47, 34, 49, 35, 20, 6, 3, 5, 33, 29, 30, 1, 9, 27, 19, 40, 42, 14, 46]",geometric,1,0.99,0.001,0.9997162137650817,1,1000,
4,500,532.2758777497977,559,0.09183159994427115,"[27, 8, 21, 4, 12, 3, 17, 25, 41, 0, 11, 10, 16, 43, 23, 44, 37, 24, 38, 7, 13, 22, 28, 32, 39, 20, 15, 45, 48, 1, 34, 47, 9, 35, 46, 31, 6, 2, 14, 33, 19, 30, 5, 36, 18, 29, 26, 42, 40, 49]",geometric,1,0.99,0.001,0.9990774873552619,1,1000,
5,1000,460.9335868566107,1080,0.21660839999094605,"[49, 27, 21, 23, 44, 0, 25, 17, 41, 3, 10, 11, 16, 43, 4, 12, 8, 24, 42, 7, 13, 22, 28, 15, 6, 20, 39, 45, 48, 19, 34, 47, 33, 9, 46, 32, 31, 2, 35, 1, 14, 5, 36, 30, 18, 29, 26, 40, 38, 37]",geometric,1,0.99,0.001,0.9978253807493469,1,1000,
6,0,1100.0516346049103,0,0.00026670005172491074,"[6, 48, 11, 4, 12, 31, 7, 25, 41, 18, 22, 28, 33, 15, 16, 27, 37, 20, 24, 47, 13, 10, 19, 29, 42, 45, 26, 32, 17, 44, 34, 14, 2, 43, 35, 21, 0, 3, 38, 36, 49, 30, 39, 9, 8, 23, 40, 1, 5, 46]",arithmetic,1,0.0001,0.001,0.9999999733299948,1,1000,
7,10,1032.3157753097498,16,0.01160850003361702,"[6, 48, 11, 4, 12, 31, 39, 25, 41, 18, 28, 10, 33, 15, 16, 27, 37, 24, 20, 47, 13, 22, 19, 29, 49, 45, 26, 32, 17, 44, 34, 5, 2, 43, 35, 21, 0, 3, 38, 36, 42, 30, 7, 9, 8, 23, 40, 1, 14, 46]",arithmetic,1,0.0001,0.001,0.9999988391499967,1,1000,
8,50,790.994910206972,71,0.025195900001563132,"[0, 48, 11, 4, 12, 31, 39, 25, 41, 27, 21, 10, 2, 15, 16, 26, 37, 24, 38, 47, 13, 22, 19, 45, 17, 20, 36, 32, 43, 44, 18, 29, 34, 49, 35, 28, 6, 3, 5, 33, 1, 30, 7, 9, 8, 23, 40, 42, 14, 46]",arithmetic,1,0.0001,0.001,0.9999974804099998,1,1000,
9,100,699.8407895133896,130,0.043540799990296364,"[31, 48, 11, 4, 12, 0, 39, 25, 41, 8, 21, 10, 16, 45, 2, 26, 37, 24, 38, 7, 13, 22, 23, 15, 17, 28, 36, 32, 43, 44, 18, 47, 34, 49, 35, 20, 6, 3, 5, 33, 29, 30, 1, 9, 27, 19, 40, 42, 14, 46]",arithmetic,1,0.0001,0.001,0.999995645920001,1,1000,
10,500,541.8115069950661,560,0.11358170001767576,"[27, 8, 21, 4, 12, 32, 17, 25, 41, 0, 11, 10, 16, 43, 23, 44, 38, 24, 37, 7, 13, 22, 28, 15, 39, 20, 3, 45, 48, 1, 34, 47, 9, 35, 46, 31, 6, 2, 14, 33, 19, 30, 5, 36, 18, 29, 26, 42, 40, 49]",arithmetic,1,0.0001,0.001,0.9999886418299982,1,1000,
11,1000,440.20000247998314,1090,0.2410292000276968,"[24, 40, 21, 23, 44, 12, 41, 17, 25, 32, 15, 4, 16, 43, 11, 10, 8, 38, 42, 7, 13, 22, 28, 6, 45, 0, 20, 39, 48, 9, 34, 47, 33, 19, 1, 3, 31, 2, 35, 46, 14, 5, 36, 30, 18, 29, 26, 27, 37, 49]",arithmetic,1,0.0001,0.001,0.9999758970799972,1,1000,
